2026-05-12 19:42:00 [faf9f99d-104e-4204-ba1c-5d5609da1b39] Event: REGISTRATION, User: testuser, IP: N/A, Details: User registered successfully, timestamp=2026-05-12T19:42:00.433619
2026-05-12 19:42:45 [2b698072-94af-4e8e-82c8-604c3c8312f3] Event: LOGIN_SUCCESS, User: testuser, IP: 0:0:0:0:0:0:0:1, Details: User logged in successfully, timestamp=2026-05-12T19:42:45.610973
2026-05-12 19:43:43 [945bdadf-26a5-4559-a840-f93c3b432dda] Event: LOGOUT, User: Unknown, IP: N/A, Details: User logged out and token blacklisted, timestamp=2026-05-12T19:43:43.310313
2026-05-12 19:44:10 [] Event: TOKEN_BLACKLISTED, User: testuser, IP: N/A, Details: Blacklisted token used: , timestamp=2026-05-12T19:44:10.819620
2026-05-12 19:44:31 [44206b85-8b20-4ec3-8ef2-34e6a9b98821] Event: LOGIN_SUCCESS, User: testuser, IP: 0:0:0:0:0:0:0:1, Details: User logged in successfully, timestamp=2026-05-12T19:44:31.530397
2026-05-12 19:44:32 [223df1de-ffb7-4f3b-91eb-834d7c661e1c] Event: LOGIN_SUCCESS, User: testuser, IP: 0:0:0:0:0:0:0:1, Details: User logged in successfully, timestamp=2026-05-12T19:44:32.588407
2026-05-12 19:44:33 [9f07c94b-e410-4d75-b1fc-9bcef5cee5e6] Event: LOGIN_SUCCESS, User: testuser, IP: 0:0:0:0:0:0:0:1, Details: User logged in successfully, timestamp=2026-05-12T19:44:33.480686
2026-05-12 19:44:43 [9e1e7a54-6a6a-4fd5-bf3a-c2f3b761b147] Event: LOGIN_SUCCESS, User: testuser, IP: 0:0:0:0:0:0:0:1, Details: User logged in successfully, timestamp=2026-05-12T19:44:43.398020
2026-05-12 19:45:54 [] Event: TOKEN_BLACKLISTED, User: testuser, IP: N/A, Details: Blacklisted token used: , timestamp=2026-05-12T19:45:54.284097
2026-05-12 19:46:01 [af28f13b-8330-4e7a-8bd4-db4dc935e592] Event: LOGOUT, User: Unknown, IP: N/A, Details: User logged out and token blacklisted, timestamp=2026-05-12T19:46:01.890301
2026-05-12 19:46:06 [] Event: TOKEN_BLACKLISTED, User: testuser, IP: N/A, Details: Blacklisted token used: , timestamp=2026-05-12T19:46:06.094028
2026-05-12 19:46:13 [] Event: TOKEN_BLACKLISTED, User: testuser, IP: N/A, Details: Blacklisted token used: , timestamp=2026-05-12T19:46:13.043401
2026-05-12 19:46:17 [87f72152-aaf4-4f6d-81ed-2b4791e8d933] Event: LOGIN_SUCCESS, User: testuser, IP: 0:0:0:0:0:0:0:1, Details: User logged in successfully, timestamp=2026-05-12T19:46:17.068939
2026-05-12 19:46:24 [] Event: TOKEN_BLACKLISTED, User: testuser, IP: N/A, Details: Blacklisted token used: , timestamp=2026-05-12T19:46:24.301194
2026-05-12 19:46:27 [] Event: TOKEN_BLACKLISTED, User: testuser, IP: N/A, Details: Blacklisted token used: , timestamp=2026-05-12T19:46:27.148188
2026-05-12 19:46:29 [] Event: TOKEN_BLACKLISTED, User: testuser, IP: N/A, Details: Blacklisted token used: , timestamp=2026-05-12T19:46:29.357456
2026-05-12 19:46:30 [] Event: TOKEN_BLACKLISTED, User: testuser, IP: N/A, Details: Blacklisted token used: , timestamp=2026-05-12T19:46:30.242025
2026-05-12 19:46:30 [] Event: TOKEN_BLACKLISTED, User: testuser, IP: N/A, Details: Blacklisted token used: , timestamp=2026-05-12T19:46:30.911932
2026-05-12 19:46:31 [] Event: TOKEN_BLACKLISTED, User: testuser, IP: N/A, Details: Blacklisted token used: , timestamp=2026-05-12T19:46:31.546867
2026-05-12 19:46:32 [] Event: TOKEN_BLACKLISTED, User: testuser, IP: N/A, Details: Blacklisted token used: , timestamp=2026-05-12T19:46:32.128749
2026-05-12 19:46:32 [] Event: TOKEN_BLACKLISTED, User: testuser, IP: N/A, Details: Blacklisted token used: , timestamp=2026-05-12T19:46:32.717808
2026-05-12 19:46:33 [] Event: TOKEN_BLACKLISTED, User: testuser, IP: N/A, Details: Blacklisted token used: , timestamp=2026-05-12T19:46:33.326431
2026-05-12 19:46:33 [] Event: TOKEN_BLACKLISTED, User: testuser, IP: N/A, Details: Blacklisted token used: , timestamp=2026-05-12T19:46:33.912270
2026-05-12 19:46:34 [] Event: TOKEN_BLACKLISTED, User: testuser, IP: N/A, Details: Blacklisted token used: , timestamp=2026-05-12T19:46:34.527697
2026-05-12 19:46:35 [] Event: TOKEN_BLACKLISTED, User: testuser, IP: N/A, Details: Blacklisted token used: , timestamp=2026-05-12T19:46:35.129109
